GPMATCH;LESSON
a-a;1
i-i;2
i-j;2
i-J;2
e-%;3
o-O;4
o-o;4
u-8;5
u-y;5
l-l;6
ll-l;6
m-m;7
mm-m;7
s-s;8
ss-s;8
é-e;9
v-v;10
r-R;11
rr-R;11
ou-u;12
ou-o;12
ou-w;12
e-#;13
s-#;13
t-#;13
x-#;13
n-n;14
nn-n;14
un-1;15
f-f;16
ff-f;16
ch-S;17
j-Z;18
d-d;19
t-t;20
tt-t;20
p-p;21
pp-p;21
c-k;22
cc-k;22
b-b;23
g-g;24
gu-g;25
k-k;26
q-k;27
qu-k;27
z-z;28
es-E;29
est-E;30
en-@;31
em-@;31
on-§;32
om-§;32
an-@;33
am-@;33
in-5;34
en-5;34
im-5;34
e-E;35
c-s;36
ç-s;36
sc-s;36
g-Z;37
ge-Z;37
s-z;38
er-e;39
oi-W;40
è-E;41
et-E;42
ent-#;43
au-o;44
eau-o;44
au-O;44
ant-@;45
ent-@;45
h-#;46
th-#;46
t-s;47
e-e;48
x-x;49
gn-N;50
ai-e;51
ai-E;51
ez-e;52
b-#;53
c-#;53
d-#;53
f-#;53
g-#;53
l-#;53
p-#;53
r-#;53
ill-J;54
eu-2;55
eu-9;55
oeu-9;55
oeu-2;55
oe-9;55
â-A;56
oy-4;57
ô-o;58
et-e;59
ill-j;60
il-j;61
ph-f;62
ei-E;63
ei-e;63
y-J;64
y-j;64
ê-E;65
w-w;66
