,LESSON,ORTHOGRAPHY,PHONOLOGY,GPMATCH,N LETTERS,N PHONEMES
0,2,ada,ada,a~a.d~d.a~a,3,3
1,2,da,da,d~d.a~a,2,2
2,2,dada,dada,d~d.a~a.d~d.a~a,4,4
3,3,pa,pa,p~p.a~a,2,2
4,3,papa,papa,p~p.a~a.p~p.a~a,4,4
5,4,dava,dava,d~d.a~a.v~v.a~a,4,4
6,5,aba,aba,a~a.b~b.a~a,3,3
7,5,baba,baba,b~b.a~a.b~b.a~a,4,4
8,6,abafa,abafa,a~a.b~b.a~a.f~f.a~a,5,5
9,6,abafada,abafada,a~a.b~b.a~a.f~f.a~a.d~d.a~a,7,7
10,6,fada,fada,f~f.a~a.d~d.a~a,4,4
11,6,fava,fava,f~f.a~a.v~v.a~a,4,4
12,7,ata,ata,a~a.t~t.a~a,3,3
13,7,atada,atada,a~a.t~t.a~a.d~d.a~a,5,5
14,7,bata,bata,b~b.a~a.t~t.a~a,4,4
15,7,batata,batata,b~b.a~a.t~t.a~a.t~t.a~a,6,6
16,7,data,data,d~d.a~a.t~t.a~a,4,4
17,7,datada,datada,d~d.a~a.t~t.a~a.d~d.a~a,6,6
18,7,pata,pata,p~p.a~a.t~t.a~a,4,4
19,7,patada,patada,p~p.a~a.t~t.a~a.d~d.a~a,6,6
20,7,ta,ta,t~t.a~a,2,2
21,7,taba,taba,t~t.a~a.b~b.a~a,4,4
22,7,tapa,tapa,t~t.a~a.p~p.a~a,4,4
23,7,tapada,tapada,t~t.a~a.p~p.a~a.d~d.a~a,6,6
24,7,tapava,tapava,t~t.a~a.p~p.a~a.v~v.a~a,6,6
25,7,tatatata,tatatata,t~t.a~a.t~t.a~a.t~t.a~a.t~t.a~a,8,8
26,7,tava,tava,t~t.a~a.v~v.a~a,4,4
27,9,batalha,bataʎa,b~b.a~a.t~t.a~a.lh~ʎ.a~a,7,6
28,9,falha,faʎa,f~f.a~a.lh~ʎ.a~a,5,4
29,9,palha,paʎa,p~p.a~a.lh~ʎ.a~a,5,4
30,9,talha,taʎa,t~t.a~a.lh~ʎ.a~a,5,4
31,9,valha,vaʎa,v~v.a~a.lh~ʎ.a~a,5,4
32,10,abra,abɾa,a~a.b~b.r~ɾ.a~a,4,4
33,10,apara,apaɾa,a~a.p~p.a~a.r~ɾ.a~a,5,5
34,10,aparada,apaɾada,a~a.p~p.a~a.r~ɾ.a~a.d~d.a~a,7,7
35,10,aparar,apaɾaɾ,a~a.p~p.a~a.r~ɾ.a~a.r~ɾ,6,6
36,10,aparava,apaɾava,a~a.p~p.a~a.r~ɾ.a~a.v~v.a~a,7,7
37,10,aparta,apaɾta,a~a.p~p.a~a.r~ɾ.t~t.a~a,6,6
