de,de
la,la
el,el
en,en
que,ke
y,i
a,a
los,los
se,se
del,del
las,las
por,por
un,un
con,kon
una,una
no,no
su,su
es,es
para,para
al,al
como,komo
lo,lo
más,mas
o,o
sus,sus
ha,a
pero,pero
le,le
este,este
e,e
fue,fwe
sobre,soBre
también,tamBjen
esta,esta
entre,entre
sin,sin
si,si
ser,ser
me,me
son,son
ya,Ha
cuando,kwando
dos,dos
todo,toDo
era,era
desde,dezDe
muy,mui
hasta,asta
él,el
está,esta
había,aBia
parte,parte
han,an
i,i
años,aJos
todos,toDos
mi,mi
puede,pweDe
tiene,tjene
donde,donde
vez,bes
gran,gran
durante,durante
hay,ai
porque,porke
después,despwes
mismo,mizmo
ni,ni
sólo,solo
uno,uno
otros,otros
qué,ke
señor,seJor
tiempo,tjempo
contra,kontra
comisión,komisjon
tanto,tanto
bien,bjen
nos,nos
yo,Ho
aunque,auNke
cada,kaDa
así,asi
esto,esto
país,pais
vida,biDa
u,u
año,aJo
gobierno,goBjerno
estado,estaDo
sido,siDo
tan,tan
forma,forma
mayor,maHor
hoy,oi
mundo,mundo
otro,otro
tres,tres
ese,ese
estados,estaDos
mí,mi
ciudad,sjuDaD
lugar,luGar
primera,primera
dijo,dixo
ahora,aora
hacer,aser
primer,primer
antes,antes
según,seGun
otra,otra
grupo,grupo
hace,ase
españa,espaJa
hecho,eCo
estos,estos
ella,eLa
general,xeneral
the,te
nombre,nomBre
sino,sino
política,politika
cual,kwal
además,aDemas
unión,unjon
europea,europea
tras,tras
id,iD
menos,menos
todas,toDas
siempre,sjempre
trabajo,traBaxo
estaba,estaBa
les,les
países,paises
pues,pwes
efe,efe
nuevo,nweBo
name,name
speaker,speaker
hacia,asja
embargo,emBarGo
algunos,alGunos
ellos,eLos
día,dia
madrid,maDriD
otras,otras
poco,poko
as,as
historia,istorja
san,san
caso,kaso
mientras,mjentras
debe,deBe
entonces,entonses
esa,esa
están,estan
quien,kjen
mucho,muCo
toda,toDa
ante,ante
estas,estas
mejor,mexor
decir,desir
hombre,omBre
fueron,fweron
medio,meDjo
consejo,konsexo
momento,momento
europa,europa
eso,eso
unos,unos
nacional,nasjonal
personas,personas
partido,partiDo
nueva,nweBa
guerra,GeRa
miembros,mjemBros
bajo,baxo
nada,naDa
poder,poDer
tal,tal
algo,alGo
muchos,muCos
cuenta,kwenta
os,os
acuerdo,akwerDo
sistema,sistema
sea,sea
pueden,pweDen
fin,fin
luego,lweGo
casa,kasa
he,e
te,te
punto,punto
ver,ber
tienen,tjenen
aquí,aki
siglo,siGlo
pasado,pasaDo
informe,imforme
ello,eLo
misma,mizma
grandes,grandes
aún,aun
juan,xwan
millones,miLones
tener,tener
haber,aBer
río,Rio
manera,manera
va,ba
ejemplo,exemplo
casi,kasi
josé,xose
nuestra,nwestra
sí,si
modo,moDo
cuatro,kwatro
junto,xunto
dentro,dentro
número,numero
europeo,europeo
situación,sitwasjon
usted,usteD
cómo,komo
veces,beses
derecho,dereCo
hizo,iso
rey,Rei
allí,aLi
población,poBlasjon
final,final
social,sosjal
posible,posiBle
cosas,kosas
seguridad,seGuriDaD
muerte,mwerte
unidos,uniDos
dios,djos
frente,frente
derechos,dereCos
nunca,nuNka
tierra,tjeRa
enlaces,enlases
solo,solo
ley,lei
proceso,proseso
tipo,tipo
nuestro,nwestro
segundo,seGundo
siendo,sjendo
eran,eran
externos,esternos
algunas,alGunas
hemos,emos
real,Real
pueblo,pweBlo
hombres,omBres
segunda,seGunda
of,of
ayer,aHer
días,dias
cualquier,kwalkjer
centro,sentro
dar,dar
tenía,tenia
fuera,fwera
padre,paDre
obra,oBra
último,ultimo
dicho,diCo
respecto,Respekto
norte,norte
muchas,muCas
habían,aBian
sociedad,sosjeDaD
mujer,muxer
da,da
relación,Relasjon
sur,sur
equipo,ekipo
español,espaJol
través,traBes
agua,agwa
familia,familja
tarde,tarDe
varios,barjos
parece,parese
don,don
incluso,iNkluso
noche,noCe
estar,estar
zona,sona
nosotros,nosotros
dice,dise
serie,serje
mercado,merkaDo
orden,orDen
tuvo,tuBo
lado,laDo
capital,kapital
encuentra,eNkwentra
sentido,sentiDo
mar,mar
debido,deBiDo
éste,este
cuanto,kwanto
creo,kreo
largo,larGo
trata,trata
mundial,mundjal
cambio,kamBjo
hijo,ixo
puesto,pwesto
mujeres,muxeres
mañana,maJana
nivel,niBel
programa,proGrama
cuerpo,kwerpo
aquel,akel
ministro,ministro
mis,mis
unas,unas
problemas,proBlemas
primero,primero
maría,maria
horas,oras
pesar,pesar
todavía,toDaBia
lía,lia
cinco,siNko
francia,fransja
mano,mano
language,laNgwaxe
actual,aktwal
principal,prinsipal
fuerza,fwersa
provincia,proBinsja
gracias,grasjas
principio,prinsipjo
julio,xuljo
propuesta,propwesta
gente,xente
podría,poDria
tu,tu
paso,paso
campo,kampo
alguna,alGuna
servicios,serBisjos
madre,maDre
meses,meses
partir,partir
obras,oBras
común,komun
ojos,oxos
base,base
proyecto,proHekto
uso,uso
vista,bista
problema,proBlema
región,Rexjon
cabeza,kaBesa
propio,propjo
realidad,RealiDaD
cuestión,kwestjon
cosa,kosa
tenemos,tenemos
música,musika
será,sera
iglesia,iGlesja
palabras,palaBras
carlos,karlos
paz,pas
ellas,eLas
público,puBliko
española,espaJola
cerca,serka
tía,tia
interior,interjor
méxico,meGsiko
cierto,sjerto
apoyo,apoHo
comunidad,komuniDaD
razón,Rason
político,politiko
podía,poDia
libro,liBro
quiero,kjero
enero,enero
camino,kamino
total,total
mayo,maHo
medidas,meDiDas
marzo,marso
nuestros,nwestros
barcelona,barselona
amor,amor
haya,aHa
siguiente,siGjente
humanos,umanos
ayuda,aHuDa
dado,daDo
luis,lwis
voz,bos
luz,lus
mayoría,maHoria
llegar,LeGar
central,sentral
papel,papel
mediante,meDjante
ningún,niNGun
varias,barjas
alto,alto
hora,ora
futuro,futuro
nadie,naDje
verdad,berDaD
único,uniko
debate,deBate
santa,santa
valor,balor
buena,bwena
demás,demas
deben,deBen
empresas,empresas
mal,mal
diciembre,disjemBre
puntos,puntos
existe,eGsiste
manos,manos
esos,esos
grupos,grupos
control,kontrol
propia,propja
dio,djo
director,direktor
libertad,liBertaD
datos,datos
últimos,ultimos
origen,orixen
sector,sektor
partes,partes
cuales,kwales
falta,falta
acción,aksjon
favor,faBor
algún,alGun
junio,xunjo
especial,espesjal
igual,igwal
persona,persona
ninguna,niNGuna
idea,iDea
ambos,amBos
inglés,iNgles
aquella,akeLa
última,ultima
economía,ekonomia
