ORTHO,PHON
aarão,aaɾɐ̃w
aba,aba
abacate,abakatʃi
abacateiro,abakateɾu
abacateiros,abakateɾus
abacates,abakatʃis
abacaxi,abakaʃi
abacaxis,abakaʃis
abacaxizal,abakaʃizaw
abacaxizeiro,abakaʃizeɾu
abacaxizinho,abakaʃiziɲu
abade,abadʒi
abaeté,abaetɛ
abafa,abafa
abafada,abafada
abafado,abafadu
abafados,abafadus
abafo,abafu
abaixa,abaʃa
abaixado,abaʃadu
abaixamos,abaʃɐmus
abaixando,abaʃɐ̃du
abaixar,abaʃaɾ
abaixava,abaʃava
abaixavam,abaʃavɐ̃w
abaixo,abaʃu
abaixou,abaʃo
abajur,abaʒuɾ
abajures,abaʒuɾis
abalada,abalada
abalando,abalɐ̃du
abalar,abalaɾ
abalaram,abalaɾɐ̃w
abalo,abalu
abalos,abalus
abalou,abalo
abana,abɐna
abanado,abanadu
abanando,abanɐ̃du
abanar,abanaɾ
abanava,abanava
abancava,abɐ̃kava
abandona,abɐ̃dona
abandoná-lo,abɐ̃donalu
abandoná-los,abɐ̃donalus
abandonada,abɐ̃donada
abandonadas,abɐ̃donadas
abandonado,abɐ̃donadu
abandonados,abɐ̃donadus
abandonam,abɐ̃donɐ̃w
abandonando,abɐ̃donɐ̃du
abandonar,abɐ̃donaɾ
abandonara,abɐ̃donaɾa
abandonaram,abɐ̃donaɾɐ̃w
abandonasse,abɐ̃donasi
abandonava,abɐ̃donava
abandonavam,abɐ̃donavɐ̃w
abandone,abɐ̃doni
abandonem,abɐ̃donẽ
abandono,abɐ̃donu
abandonou,abɐ̃dono
abane,abɐni
abanei,abanej
abano,abɐnu
abanos,abɐnus
abanou,abano
abará,abaɾa
abarrotadas,abahotadas
abas,abas
abastada,abastada
abastado,abastadu
abastece,abastɛsi
abastecê-los,abasteselus
abastecem,abastɛsẽ
abastecendo,abastesẽdu
abastecer,abasteseɾ
abastecidos,abastesidus
abastecimento,abastesimẽtu
abate,abatʃi
abater,abateɾ
abateu,abatew
abatido,abatʃidu
abatimento,abatʃimẽtu
abatinguara,abatʃĩgwaɾa
abatira,abatʃiɾa
abdias,abidʒias
abdica,abidʒika
abdicação,abidʒikasɐ̃w
abdicado,abidʒikadu
abdicar,abidʒikaɾ
abdico,abidʒiku
abdicou,abidʒiko
abdome,abidomi
abdômen,abidomẽ
abecedário,abesedaɾju
abel,abɛw
abelardo,abelaɾdu
abelha,abeʎa
abelhas,abeʎas
abelhazita,abeʎazita
abelhinha,abeʎiɲa
abelhinhas,abeʎiɲas
abelhita,abeʎita
abelhuda,abeʎuda
abelhudo,abeʎudu
abençoa,abẽsoa
abençoado,abẽsoadu
abençoar,abẽsoaɾ
abençoaram,abẽsoaɾɐ̃w
abençoe,abẽsoi
abençôo,abẽsou
abençoou,abẽsuow
aberta,abɛɾta
abertamente,abɛɾtamẽtʃi
abertas,abɛɾtas
aberto,abɛɾtu
abertos,abɛɾtus
abertura,abeɾtuɾa
aberturas,abeɾtuɾas
abílio,abilju
abismo,abizmu
abismos,abizmus
abius,abiws
abóbada,abɔbada
abobado,abobadu
aboboeira,aboboeɾa
abóbora,abɔbuɾa
abóboras,abɔbuɾas
aboboreira,aboboɾeɾa
abobrinha,abɔbɾiɲa
abocanhá-lo,abokɐɲalu
abocanhou,abokɐɲo
abocar,abokaɾ
abocou,aboko
abolição,abolisɐ̃w
abolicionista,abolisionista
abolicionistas,abolisionistas
abolida,abolida
abolido,abolidu
abolindo,abolĩdu
abolir,aboliɾ
aboliu,aboliw
abono,abonu
abordado,aboɾdadu
abordará,aboɾdaɾa
abordou,aboɾdo
aborreça,abohesa
aborrece,abohɛsi
aborrecê-la,abohesela
aborrecê-lo,aboheselu
aborrecem,abohɛsẽ
aborrecendo,abohesẽdu
aborrecer,aboheseɾ
aborreceu,abohesew
aborrecia,abohesia
aborrecida,abohesida
aborrecidas,abohesidas
aborrecidíssimo,abohesidʒisimu
aborrecido,abohesidu
aborrecidos,abohesidus
aborrecimento,abohesimẽtu
aborrecimentos,abohesimẽtus
abortos,aboɾtus
abotoá-lo,abotoalu
abotoada,abotoada
abotoado,abotoadu
abotoam,abotoɐ̃w
abotoar,abotoaɾ
abotoasse,abotoasi
abotôo,abotou
abotoou,abotoo
abra,abɾa
abraça,abɾasa
abraçá-la,abɾasala
abraçá-los,abɾasalus
abraçada,abɾasada
abracadabra,abɾakadabɾa
abraçadas,abɾasadas
abraçadinhos,abɾasadʒiɲus
abraçado,abɾasadu
abraçados,abɾasadus
abraçai,abɾasaj
abraçam,abɾasɐ̃w
abraçando,abɾasɐ̃du
abração,abɾasɐ̃w
abraçar,abɾasaɾ
abraçaram,abɾasaɾɐ̃w
abraçava,abɾasava
abracei,abɾasej
abraço,abɾasu
abraços,abɾasus
abraçou,abɾaso
abram,abɾɐ̃w
abrandar,abɾɐ̃daɾ
abrange,abɾɐ̃ʒi
abrangem,abɾɐ̃ʒẽ
abrangerá,abɾɐ̃ʒeɾa
abrangia,abɾɐ̃ʒia
abrasa,abɾaza
abrasador,abɾazadoɾ
abre,abɾi
abrem,abɾẽ
abres,abɾis
abreu,abɾew
abreugrafia,abɾewgɾafia
abrevia,abɾevia
abreviação,abɾeviasɐ̃w
abreviações,abɾeviasõjs
abreviada,abɾeviada
abreviadamente,abɾeviadamẽtʃi
abreviado,abɾeviadu
abreviam,abɾeviɐ̃w
abreviamos,abɾeviɐmus
abreviar,abɾeviaɾ
abreviatura,abɾeviatuɾa
abreviaturas,abɾeviatuɾas
abri,abɾi
abri-la,abɾila
abri-lo,abɾilu
abria,abɾia
abriam,abɾiɐ̃w
abridores,abɾidoɾis
abriga,abɾiga
abrigada,abɾigada
abrigado,abɾigadu
abrigados,abɾigadus
abrigam,abɾigɐ̃w
abrigamos,abɾigɐmus
abrigando,abɾigɐ̃du
abrigar,abɾigaɾ
abrigaram,abɾigaɾɐ̃w
abrigarem,abɾigaɾẽ
abrigasse,abɾigasi
abrigava,abɾigava
abrigo,abɾigu
abrigos,abɾigus
abrigou,abɾigo
abrigue,abɾigi
abril,abɾiw
abrimos,abɾimus
abrindo,abɾĩdu
abrir,abɾiɾ
abrira,abɾiɾa
abrirá,abɾiɾa
abriram,abɾiɾɐ̃w
abrirão,abɾiɾɐ̃w
abrirás,abɾiɾas
abrirei,abɾiɾej
abrireis,abɾiɾejs
abrirem,abɾiɾẽ
abriremos,abɾiɾemus
abriria,abɾiɾia
abrirmos,abɾiɾmus
abris,abɾis
abrisse,abɾisi
abrissem,abɾisẽ
abríssemos,abɾisimus
abriste,abɾistʃi
abristes,abɾistʃis
abriu,abɾiw
abro,abɾu
abruptas,abɾupitas
abscesso,abisɛsu
absoluta,abisoluta
absolutamente,abisolutamẽtʃi
absoluto,abisolutu
absolutos,abisolutus
absolve,abisɔwvi
absolver,abisowveɾ
absolvição,abisowvisɐ̃w
absolvido,abisowvidu
absorção,abisoɾsɐ̃w
absortos,abisoɾtus
absorve,abisɔɾvi
absorvem,abisɔɾvẽ
absorvendo,abisoɾvẽdu
absorvente,abisoɾvẽtʃi
absorventes,abisoɾvẽtʃis
absorver,abisoɾveɾ
absorvida,abisoɾvida
absorvido,abisoɾvidu
abster,abisteɾ
abstração,abistɾasɐ̃w
abstrata,abistɾata
