ORTHO,PHON
a,a
à,a
abaissa,abEsa
abaissai,abEsE
abaissait,abEsE
abaisse,abEs
abaissé,abese
abaissée,abese
abaissées,abese
abaissent,abEs
abaisser,abese
abaissés,abese
abajoues,abaZu
abandon,ab@d%
abandonna,ab@dona
abandonnai,ab@donE
abandonnaient,ab@donE
abandonnais,ab@donE
abandonnait,ab@donE
abandonnant,ab@don@
abandonne,ab@don
abandonné,ab@done
abandonné,ab@done
abandonnée,ab@done
abandonnée,ab@done
abandonnées,ab@done
abandonnées,ab@done
abandonnent,ab@don
abandonner,ab@done
abandonnera,ab@donRa
abandonnerai,ab@donRE
abandonnerais,ab@donRE
abandonnèrent,ab@donER
abandonnerons,ab@donR%
abandonnes,ab@don
abandonnés,ab@done
abandonnés,ab@done
abandonnez,ab@done
abandonnons,ab@don%
abasourdi,abazuRdi
abasourdi,abazuRdi
abasourdie,abazuRdi
abasourdie,abazuRdi
abasourdis,abazuRdi
abat,aba
abats,aba
abattait,abatE
abattant,abat@
abattement,abatm@
abattent,abat
abattirent,abatiR
abattis,abati
abattit,abati
abattoir,abatwaR
abattoirs,abatwaR
abattrai,abatRE
abattre,abatR*
abattu,abaty
abattu,abaty
abattue,abaty
abattue,abaty
abattues,abaty
abattues,abaty
abattus,abaty
abattus,abaty
abbaye,abei
abbé,abe
abcès,apsE
abdomen,abdomEn
abdominaux,abdominO
abécédaire,abesedER
abeille,abEj
abeilles,abEj
abel,abEl
abîma,abima
abîmait,abimE
abîme,abim
abîme,abim
abîmé,abime
abîmée,abime
abîmées,abime
abîment,abim
abîmer,abime
abîmerait,abimRE
abîmes,abim
abîmes,abim
abîmés,abime
abîmez,abime
abîmons,abim%
ablette,ablEt
ablettes,ablEt
aboie,abwa
aboiement,abwam@
aboiements,abwam@
aboient,abwa
aboiera,abwaRa
aboies,abwa
abois,abwa
abolition,abolisj%
abominable,abominabl*
abominablement,abominabl*m@
abominables,abominabl*
abomination,abominasj%
abondaient,ab%dE
abondamment,ab%dam@
abondance,ab%d@s
abondant,ab%d@
abondant,ab%d@
abondante,ab%d@t
abondantes,ab%d@t
abondants,ab%d@
abondent,ab%d
abonne,abon
abonné,abone
abonné,abone
abonnement,abonm@
abonnements,abonm@
abonner,abone
abonnés,abone
abonnés,abone
abonnés,abone
abord,aboR
aborda,aboRda
abordage,aboRdaZ
abordai,aboRdE
abordait,aboRdE
abordâmes,aboRdam
abordant,aboRd@
aborde,aboRd*
aborder,aboRde
abordèrent,aboRdER
abordés,aboRde
abordés,aboRde
abordions,aboRdj%
abords,aboR
aborigènes,aboRiZEn
abouché,abuSe
abouti,abuti
aboutir,abutiR
aboutira,abutiRa
aboutissaient,abutisE
aboutissait,abutisE
aboutissement,abutism@
aboutissent,abutis
aboutit,abuti
aboya,abwaja
aboyaient,abwajE
aboyait,abwajE
aboyant,abwaj@
aboyé,abwaje
aboyer,abwaje
abracadabra,abRakadabRa
abracadabrant,abRakadabR@
abrasion,abRazj%
abrège,abREZ
abrégé,abReZe
abrégé,abReZe
abrégé,abReZe
abrégeant,abReZ@
abrégées,abReZe
abréger,abReZe
abreuvait,abR9vE
abreuver,abR9ve
abreuvoir,abR9vwaR
abréviation,abRevjasj%
abréviations,abRevjasj%
abri,abRi
abricot,abRikO
abricot,abRikO
abricotier,abRikotje
abricotiers,abRikotje
abricots,abRikO
abris,abRi
abritaient,abRitE
abritait,abRitE
abritant,abRit@
abrite,abRit
abrité,abRite
abrité,abRite
abritée,abRite
abritée,abRite
abritent,abRit
abriter,abRite
abritons,abRit%
abrupt,abRypt
abrupte,abRypt*
abruptes,abRypt*
abruti,abRyti
abrutie,abRyti
abrutie,abRyti
abrutis,abRyti
absence,aps@s
absences,aps@s
absent,aps@
absent,aps@
absentait,aps@tE
absente,aps@t
absente,aps@t
absenté,aps@te
absentée,aps@te
absentent,aps@t
absenter,aps@te
absentes,aps@t
absentez,aps@te
absents,aps@
absolu,apsoly
absolu,apsoly
absolue,apsoly
absolument,apsolym@
absorba,apsoRba
absorbait,apsoRbE
absorbant,apsoRb@
