,GP,GP FREQ IN DATASET,G CONSISTENCY,P CONSISTENCY,SCORE
0,d~d,0.04666443402545211,0.9935824301197946,0.9996412942104885,52.13352048907622
1,a~a,0.12862022772940387,0.8643575720748092,0.9540204188091512,51.44214692489749
2,p~p,0.026945746818486268,0.9982630272952854,1.0,51.29517815978288
3,v~v,0.019336905559276623,0.9960324305675349,0.9982710926694329,50.81324004837853
4,b~b,0.015338245144005358,0.9991273996509599,1.0,50.74073424672906
5,f~f,0.01209979906229069,0.9972398564725365,0.9997232982844494,50.516651612979615
6,t~t,0.04707300736771601,0.9358812171249751,0.9991470002843332,50.413026887821715
7,nh~ɲ,0.007712659075686537,1.0,0.9986990459670425,50.35961387312518
8,lh~ʎ,0.0029772270596115204,1.0,0.998876404494382,50.126389442868216
9,r~ɾ,0.06855994641661085,0.8919484140815616,0.9602701815282143,49.39185337384168
10,ã~ɐ̃,0.004303415941058272,0.8705962059620597,1.0,46.3330569759147
11,en~ẽ,0.013097789685197588,1.0,0.7147295321637427,44.949480127534734
12,e~e,0.0597722705961152,0.7362732560537931,0.974235807860262,44.561527368624795
13,g~g,0.01297052913596785,0.7708996815286624,0.9948625738505009,43.672768379668284
14,m~m,0.026038178164768923,0.7341831916902738,0.9998713991769548,43.32483264248575
15,s~s,0.0584594775619558,0.851055531178392,0.7264857666056268,42.98435514556209
16,l~l,0.02261888814467515,0.7699498404012768,0.9277472527472528,42.784384674217115
17,on~õ,0.005328198258539853,1.0,0.6197896377093884,42.66220266711476
18,un~ũ,0.000984594775619558,1.0,0.6189473684210526,42.428177107202025
19,c~k,0.030961152042866712,0.7572282742239331,0.8760542025964181,41.78598988078969
20,i~i,0.052983924983255194,0.6829405162738497,0.8153473510616368,39.44435875861099
21,rr~h,0.00443067649028801,1.0,0.34834123222748814,37.18835846906416
22,j~ʒ,0.003928332217012726,0.9923857868020305,0.35491679273827537,37.06632606967706
23,n~n,0.016547220361687875,0.5190126050420169,0.9993932038834952,36.3856032470148
24,ch~ʃ,0.0030843938379102476,0.9978331527627302,0.24811422413793102,35.05149875753604
25,em~ẽ,0.004253181513730744,1.0,0.2320906432748538,34.85447194118361
26,é~ɛ,0.0018519758874748827,0.9963963963963964,0.24148471615720524,34.81418500940974
27,z~z,0.005227729403884796,0.9253112033195021,0.3394954327968682,34.81063122571667
28,ó~ɔ,0.0016443402545210984,0.9899193548387096,0.24343083787803668,34.64841441544808
29,um~ũ,0.00034829202947086405,1.0,0.21894736842105264,34.3963619698946
30,o~o,0.036322839919624914,0.42911968348170126,0.9640031997155808,33.969796494743896
31,om~õ,0.0016677829872739451,1.0,0.19400077911959485,33.963404731755595
32,õ~õ,0.001480241125251172,1.0,0.17218543046357615,33.51772066553408
33,q~k,0.004102478231748158,0.9879032258064516,0.11608073533592343,32.16383539249942
34,n~̃,0.015003348961821835,0.47058823529411764,0.8478425435276306,31.824665377467234
35,-l~l,0.0017079705291359677,1.0,0.07005494505494506,31.4864974275557
36,ss~s,0.004896182183523108,1.0,0.06084568003995339,31.461722709975223
37,ç~s,0.005639651707970529,0.9859484777517564,0.07008490094889296,31.26213493692908
38,á~a,0.005827193569993302,1.0,0.043222296743423504,31.155805613368134
39,ir~ɾ,0.0027160080375083725,1.0,0.03804118392044655,30.896624080284347
40,ix~ʃ,0.0005090421969189551,1.0,0.040948275862068964,30.844417627087328
41,ên~ẽ,0.0005257870060281312,1.0,0.028691520467836257,30.60011975965813
42,â~ɐ,0.000565974547890154,1.0,0.026489028213166146,30.55807929165783
43,ê~e,0.001131949095780308,1.0,0.018449781659388646,30.42559308797679
44,ún~ũ,3.348961821835231e-05,1.0,0.021052631578947368,30.422727112489866
45,ui~i,0.0007468184862692565,1.0,0.011492475778190065,30.267190439877265
46,ij~ʒ,0.00012056262558606832,1.0,0.010892586989409985,30.223879871067503
47,cen~ẽ,0.00012056262558606832,1.0,0.006578947368421052,30.137607078647726
48,ém~ẽ,0.00011051574012056262,1.0,0.006030701754385965,30.126139822093748
49,gu~g,6.697923643670462e-05,1.0,0.005137426149499101,30.106097484811816
50,ci~i,0.00022103148024112525,1.0,0.003401360544217687,30.07907878489641
51,hi~i,0.00021768251841929002,1.0,0.003349824778396207,30.077880621488887
52,ô~o,0.0007669122572002679,0.9870689655172413,0.02035374633365923,30.057489505050437
53,ig~ʒ,3.014065639651708e-05,1.0,0.0027231467473524964,30.055969967766877
54,hon~õ,2.3442732752846616e-05,1.0,0.0027269185820023374,30.055710508277688
55,ôn~õ,2.0093770931011387e-05,1.0,0.002337358784573432,30.04775186423802
56,ll~l,5.35833891493637e-05,1.0,0.002197802197802198,30.046635213413513
57,ei~e,0.00011721366376423309,1.0,0.001910480349344978,30.04407029017511
58,úm~ũ,3.348961821835231e-06,1.0,0.002105263157894737,30.042272711248984
59,hun~ũ,3.348961821835231e-06,1.0,0.002105263157894737,30.042272711248984
60,hum~ũ,3.348961821835231e-06,1.0,0.002105263157894737,30.042272711248984
61,sh~ʃ,2.3442732752846616e-05,1.0,0.0018857758620689656,30.038887653879023
62,ur~ɾ,0.0001071667782987274,1.0,0.001501008490079272,30.035378508716523
63,se~i,8.372404554588077e-05,1.0,0.0012883941455370026,30.02995408518803
64,êm~ẽ,2.3442732752846616e-05,1.0,0.0012792397660818713,30.02675693195928
65,xc~s,7.702612190221031e-05,1.0,0.0009572165806559015,30.022995637708227
66,ee~e,5.693235097119893e-05,1.0,0.0009279475982532751,30.021405569513625
67,sc~s,7.032819825853986e-05,1.0,0.0008739803562510405,30.020996017037948
68,sem~ẽ,1.6744809109176154e-05,1.0,0.0009137426900584795,30.019112094256627
69,íg~ʒ,1.0046885465505693e-05,1.0,0.000907715582450832,30.018656655922292
70,uí~i,4.353650368385801e-05,1.0,0.0006699649556792414,30.015576124297777
71,hen~ẽ,1.3395847287340925e-05,1.0,0.0007309941520467836,30.015289675405302
72,én~ẽ,1.3395847287340925e-05,1.0,0.0007309941520467836,30.015289675405302
73,qu~k,2.3442732752846616e-05,1.0,0.0006633184876338482,30.01443850639032
74,nn~n,1.0046885465505693e-05,1.0,0.0006067961165048543,30.01263826660337
75,ie~i,3.348961821835231e-05,1.0,0.0005153576582148011,30.011981634075212
76,cem~ẽ,1.0046885465505693e-05,1.0,0.0005482456140350877,30.011467256553978
77,oh~ɔ,3.348961821835231e-06,1.0,0.0004957858205255329,30.0100831645016
78,ob~ɔ,3.348961821835231e-06,1.0,0.0004957858205255329,30.0100831645016
79,tt~t,2.0093770931011387e-05,1.0,0.0004264998578333807,30.00953468570322
80,hé~ɛ,3.348961821835231e-06,1.0,0.0004366812227074236,30.00890107254524
81,eh~ɛ,3.348961821835231e-06,1.0,0.0004366812227074236,30.00890107254524
82,ze~ɛ,3.348961821835231e-06,1.0,0.0004366812227074236,30.00890107254524
83,nd~d,1.6744809109176154e-05,1.0,0.00035870578951144273,30.008011356245685
84,ôm~õ,3.348961821835231e-06,1.0,0.00038955979742890534,30.007958644039668
85,cên~ẽ,6.697923643670462e-06,1.0,0.0003654970760233918,30.007644837702653
86,sç~s,2.3442732752846616e-05,1.0,0.0002913267854170135,30.006998672345983
87,tsc~ʃ,3.348961821835231e-06,1.0,0.00026939655172413793,30.005555379125575
88,eei~e,1.3395847287340925e-05,1.0,0.0002183406113537118,30.005036604591442
89,cí~i,1.3395847287340925e-05,1.0,0.00020614306328592042,30.004792653630084
90,th~t,1.0046885465505693e-05,1.0,0.00021324992891669036,30.004767342851608
91,zz~z,3.348961821835231e-06,1.0,0.00021748586341887777,30.00451716535947
92,us~z,3.348961821835231e-06,1.0,0.00021748586341887777,30.00451716535947
93,ü~w,3.348961821835231e-06,1.0,0.0001988862370723946,30.004145172832537
94,ol~w,3.348961821835231e-06,1.0,0.0001988862370723946,30.004145172832537
95,uc~k,6.697923643670462e-06,1.0,0.0001895195678953852,30.00412528754009
96,à~a,2.0093770931011387e-05,1.0,0.00014904240256352933,30.00398553659782
97,in~̃,3.348961821835231e-06,1.0,0.00018925056775170325,30.003952459446126
98,ço~u,1.0046885465505693e-05,1.0,0.0001711937913718329,30.003926220100713
99,sá~a,1.6744809109176154e-05,1.0,0.00012420200213627443,30.00332128049818
100,mm~m,3.348961821835231e-06,1.0,0.0001286008230452675,30.002739464551997
101,há~a,1.3395847287340925e-05,1.0,9.936160170901955e-05,30.002657024398548
102,so~u,6.697923643670462e-06,1.0,0.00011412919424788861,30.002617480067144
103,uo~u,6.697923643670462e-06,1.0,0.00011412919424788861,30.002617480067144
104,ií~i,6.697923643670462e-06,1.0,0.00010307153164296021,30.002396326815045
105,oô~o,3.348961821835231e-06,1.0,8.888098835659053e-05,30.001945067858223
106,dt~t,3.348961821835231e-06,1.0,7.108330963889678e-05,30.001589114283867
107,aa~a,6.697923643670462e-06,1.0,4.9680800854509775e-05,30.001328512199276
108,hú~u,3.348961821835231e-06,1.0,5.7064597123944306e-05,30.00130874003357
109,uh~u,3.348961821835231e-06,1.0,5.7064597123944306e-05,30.00130874003357
110,uhu~u,3.348961821835231e-06,1.0,5.7064597123944306e-05,30.00130874003357
111,úo~u,3.348961821835231e-06,1.0,5.7064597123944306e-05,30.00130874003357
112,uê~e,3.348961821835231e-06,1.0,5.458515283842795e-05,30.00125915114786
113,cê~e,3.348961821835231e-06,1.0,5.458515283842795e-05,30.00125915114786
114,ke~e,3.348961821835231e-06,1.0,5.458515283842795e-05,30.00125915114786
115,hí~i,3.348961821835231e-06,1.0,5.1535765821480104e-05,30.00119816340752
116,ii~i,3.348961821835231e-06,1.0,5.1535765821480104e-05,30.00119816340752
117,ih~i,3.348961821835231e-06,1.0,5.1535765821480104e-05,30.00119816340752
