GP,LESSON
M~M,1
B~B,2
V~V,3
D~D,4
T~T,5
R~R,6
N~N,7
P~P,8
L~L,9
F~F,10
TH~TH,11
ER~ER,12
W~W,13
X~KS,14
G~G,15
OY~OY,16
OI~OY,17
S~S,18
SH~SH,19
NG~NG,20
H~HH,21
I~IH,22
C~K,23
TI~SH,24
OR~ER,25
DG~JH,26
J~JH,27
PH~F,28
K~K,29
UR~ER,30
TC~CH,31
LL~L,32
IG~AY,33
EW~UW,34
TT~T,35
TCH~CH,36
PP~P,37
TU~CH,38
WH~W,39
OJ~OY,40
CK~K,41
FF~F,42
EE~IY,43
DJ~JH,44
NN~N,45
US~S,46
DZ~JH,47
WR~R,48
KN~N,49
DD~D,50
DT~T,51
ZU~ZH,52
THE~DH,53
BB~B,54
SU~SH,55
DU~JH,56
TER~ER,57
ALL~L,58
PF~F,59
UOY~OY,60
HOU~AW,61
ERER~ER,62
OUR~ER,63
HOI~OY,64
OUY~OY,65
LM~M,66
OUX~UW,67
SSI~SH,68
EJ~EY,69
GN~N,70
UER~ER,71
AIG~EY,72
EM~M,73
EYE~AY,74
DI~JH,75
LF~F,76
YR~ER,77
UU~UW,78
LK~K,79
OUGH~AW,80
AUL~OW,81
STS~S,82
OIE~OY,83
EV~V,84
TTE~T,85
CTI~SH,86
EUR~ER,87
LV~V,88
DTH~TH,89
UGH~F,90
EN~N,91
MM~M,92
BT~T,93
IEW~UW,94
TSH~CH,95
DCH~CH,96
ON~N,97
OUW~AW,98
AEU~AW,99
EB~B,100
EAR~ER,101
GU~G,102
IN~N,103
UW~UW,104
SJ~SH,105
RER~ER,106
DGE~JH,107
GJ~JH,108
DW~W,109
UAY~EY,110
LD~D,111
ACH~CH,112
TL~L,113
IH~IH,114
IEU~UW,115
TG~G,116
DF~F,117
IAR~ER,118
PB~B,119
LT~#,120
HL~L,121
HJ~JH,122
SL~L,123
EF~F,124
AUW~AW,125
OWE~AW,126
UET~EY,127
FE~#,128
HER~ER,129
TP~P,130
ME~#,131
SW~S,132
TM~M,133
II~IY,134
ORR~ER,135
'HU~W,136
TY~IY,137
NM~M,138
CQ~K,139
XC~K,140
BP~P,141
DP~P,142
AUX~OW,143
CHI~SH,144
DSH~SH,145
TZS~CH,146
CCH~CH,147
S'S~Z,148
'V~V,149
WI~V,150
'T~T,151
DM~M,152
BER~ER,153
ARR~ER,154
Y'~AY,155
GT~T,156
DL~L,157
KJ~JH,158
GGI~JH,159
TJ~JH,160
KK~K,161
AP~P,162
OEW~OW,163
EOW~OW,164
EUX~OW,165
BS~Z,166
UAI~EY,167
URER~ER,168
TERR~ER,169
CT~T,170
PE~#,171
AWE~AA,172
OOH~UW,173
UP~UW,174
OUE~UW,175
U'~UW,176
OOE~UW,177
JU~W,178
AM~M,179
CER~ER,180
TAR~ER,181
UEROR~ER,182
HOR~ER,183
EROR~ER,184
AIR~ER,185
MP~P,186
NP~P,187
SP~P,188
EP~P,189
EAUL~OW,190
NC~NG,191
SSH~SH,192
XI~SH,193
PTI~SH,194
SSU~SH,195
TIO~SH,196
ESH~SH,197
ND~D,198
AB~B,199
JV~V,200
SV~V,201
PN~N,202
IJ~IY,203
L'~L,204
AIL~AY,205
XO~AA,206
KH~K,207
'C~K,208
N'S~Z,209
NS~Z,210
TSE~EH,211
HEI~EH,212
HN~N,213
KG~G,214
TF~F,215
AEY~EY,216
MA~EY,217
