,GP,GP FREQ IN DATASET,G CONSISTENCY,P CONSISTENCY,SCORE
0,M~M,0.03270383859388827,0.9574604531851219,0.9942727757059137,50.24446103936634
1,B~B,0.02370389408600109,0.9705812006696962,0.9942423128751684,50.18747698189431
2,V~V,0.011454740340721572,0.99366607550038,0.9784208556816765,49.951136395681004
3,D~D,0.033895458700725196,0.9791605146593546,0.942884998171995,49.9272883382568
4,T~T,0.04925363108259271,0.9411764705882353,0.9379310344827586,49.45659636143186
5,R~R,0.0491178214380635,0.9119377490985007,0.9816425402755078,49.44687435036835
6,N~N,0.06583409026522309,0.8776451807580743,0.9826924753683843,49.27490944337107
7,P~P,0.021164399765180742,0.9501737363141677,0.9737956057246523,49.03934419217711
8,L~L,0.05046569565204693,0.8756619789687065,0.9434085883541263,47.66131591874607
9,F~F,0.013294741976278583,0.8941268905912394,0.8675433581093959,44.839410978739025
10,TH~TH,0.003193717124573952,0.8227990970654627,0.9724321920853712,44.292302609900005
11,ER~ER,0.022106305364334927,0.9898646439547505,0.6640638708545359,44.08253200394998
12,W~W,0.007697340175413489,0.8942992874109263,0.7934668071654373,43.08318177440721
13,X~KS,0.0015990490404245439,0.666869671132765,1.0,40.086042586004176
14,G~G,0.014738997228314997,0.6165170117891393,0.9739457685998263,38.71137558708646
15,OY~OY,0.0005972703721768387,1.0,0.42471443406022846,38.524152199813415
16,OI~OY,0.0006469212099617104,0.9651416122004357,0.46002076843198336,38.18700979515082
17,S~S,0.042632545832104234,0.6352736372538352,0.8195037053671682,37.579910516563636
18,SH~SH,0.004046543279467042,0.9974802015838733,0.3654708520179372,37.4361502518483
19,NG~NG,0.0037968287717843052,0.9980806142034548,0.3466204506065858,37.06466887682458
20,H~HH,0.010201786846032752,0.5666315191824154,0.9727095516569201,36.9632259509125
21,I~IH,0.03750390635267866,0.5503600205726041,0.8517511276200583,35.421018487213225
22,C~K,0.027357611619464296,0.711615893033503,0.5998142989786444,34.71264335155119
23,TI~SH,0.0025891451586052203,0.9244004171011471,0.23384331310999737,32.53833603316462
24,OR~ER,0.002999494729709601,0.9961202715809894,0.09010352693454993,31.83565342260616
25,DG~JH,0.0005432385781168313,1.0,0.0792332268370607,31.611826465647056
26,J~JH,0.002254732162936526,0.8301075268817204,0.3288604898828541,31.59317221225552
27,PH~F,0.0012383503071050348,0.9941383352872216,0.08080808080808081,31.502229190133516
28,K~K,0.015193156362170735,0.8011704912983213,0.3331092114110076,31.456956785278326
29,UR~ER,0.0024007640387743836,0.9951573849878934,0.07211791542375856,31.417118060050694
30,TC~CH,0.0004074289335876235,0.9893617021276596,0.07284595300261097,31.158141570561387
31,LL~L,0.002621272171289549,0.9977765425236242,0.04900221124184434,31.044404109110094
32,IG~AY,0.0006191751535525174,0.9953051643192489,0.04725286972027193,30.83517108166053
33,EW~UW,0.0005695243157676457,0.9798994974874372,0.06467661691542288,30.71899347871996
