,GP,GP FREQ IN DATASET,G CONSISTENCY,P CONSISTENCY,SCORE
0,a~a,0.1305750856318731,1.0,0.9654758731005065,55.838271743603784
1,e~e,0.10178474851270958,1.0,0.9671120246659815,54.43147791895511
2,o~o,0.08651523345952768,1.0,0.8852610219516694,52.030982112009774
3,t~t,0.04851270957274202,0.9781897491821155,1.0,51.77132795410057
4,p~p,0.02633856138453218,1.0,1.0,51.316928069226606
5,n~n,0.057959257256174505,0.9270472895040369,0.9978274363749224,50.66593027542828
6,f~f,0.010113574905354245,1.0,1.0,50.505678745267716
7,m~m,0.02909680908599243,1.0,0.9389179755671903,50.23319996564343
8,ñ~J,0.0020010816657652785,1.0,1.0,50.10005408328826
9,r~r,0.0678384712457184,0.8316022099447514,1.0,48.339989860628464
10,s~s,0.06931674779159906,0.9879239465570401,0.7567407990553041,48.23837176739723
11,l~l,0.03472147106544078,0.8112889637742208,1.0,46.07474246649866
12,j~x,0.006255633675860826,1.0,0.6207513416815742,42.72780851742453
13,i~i,0.051451234901748695,0.7007120058924625,0.858862473668372,40.77117139522875
14,u~u,0.02166937083107986,0.6783295711060948,0.950197628458498,40.4373082439068
15,c~k,0.03389219397872724,0.6587245970567625,0.9060240963855422,39.576829538350076
16,d~D,0.02749233820082928,0.6211812627291242,0.9615384615384616,39.24082402268442
17,y~H,0.001838831800973499,0.6580645161290323,0.9622641509433962,39.07916009278757
18,h~#,0.0073372994411393545,0.9713603818615751,0.4195876288659794,37.89942900522381
19,b~B,0.012312961961420588,0.7258235919234857,0.5862660944206008,34.115677744187614
20,g~G,0.008328826392644673,0.5238095238095238,0.8850574712643678,33.831876459205304
21,í~i,0.007481521543176492,1.0,0.12488715016551309,32.87181908046909
22,ó~o,0.011051018568595637,1.0,0.11307876775502675,32.814126283530314
23,d~d,0.0167658193618172,0.3788187372708758,1.0,32.20285308621713
24,q~k,0.0028303587524788174,1.0,0.07566265060240963,31.654770949672134
25,z~s,0.005354245538128718,1.0,0.058453060421176935,31.436773485329976
26,ú~u,0.0010996935280331711,1.0,0.048221343873517786,31.019411553872015
27,ch~C,0.00012619433928249505,1.0,0.04964539007092199,30.999217518382565
28,á~a,0.004524968451415179,1.0,0.03345774460143962,30.89540331459955
29,gu~G,0.000360555255092843,1.0,0.038314176245210725,30.784311287658856
30,é~e,0.0030827474310438072,1.0,0.029290853031860225,30.739954432189396
31,k~k,0.0005047773571299802,1.0,0.013493975903614458,30.295118385928788
32,nm~m,0.00021633315305570578,1.0,0.006980802792321117,30.150432713499207
33,rr~R,5.4083288263926445e-05,1.0,0.004838709677419355,30.099478357961583
34,ck~k,0.00016224986479177934,1.0,0.004337349397590362,30.094859481191396
35,ll~L,1.8027762754642147e-05,1.0,0.0044444444444444444,30.08979027702662
36,ee~e,0.00032449972958355867,1.0,0.003083247687564234,30.077889940230463
37,sc~s,0.00023436091581034794,1.0,0.0025585514662468016,30.062889075115454
38,i~j,0.021939787272399494,0.29879695556101155,1.0,30.06089803045032
39,ü~w,1.8027762754642147e-05,1.0,0.00267379679144385,30.05437732396661
40,nn~n,0.00012619433928249505,1.0,0.0021725636250775914,30.04976098946568
41,mm~m,5.4083288263926445e-05,1.0,0.0017452006980802793,30.0376081783748
42,xc~s,0.00012619433928249505,1.0,0.0013776815587482779,30.03386334813909
43,oo~o,0.00012619433928249505,1.0,0.0012912746725696365,30.032135210415518
44,ss~s,9.013881377321075e-05,1.0,0.00098405825624877,30.024188105813636
45,ha~a,9.013881377321075e-05,1.0,0.0006664889362836577,30.017836719414333
46,uu~u,1.8027762754642147e-05,1.0,0.0007905138339920949,30.016711664817574
47,tt~D,1.8027762754642147e-05,1.0,0.0006305170239596469,30.013511728616923
48,cq~k,1.8027762754642147e-05,1.0,0.00048192771084337347,30.010539942354598
49,zz~s,1.8027762754642147e-05,1.0,0.000196811651249754,30.004837621162725
50,oh~o,1.8027762754642147e-05,1.0,0.00018446781036709093,30.004590744345073
51,ho~o,1.8027762754642147e-05,1.0,0.00018446781036709093,30.004590744345073
52,he~e,1.8027762754642147e-05,1.0,0.00017129153819801302,30.00432721890169
53,ue~e,1.8027762754642147e-05,1.0,0.00017129153819801302,30.00432721890169
54,eh~e,1.8027762754642147e-05,1.0,0.00017129153819801302,30.00432721890169
55,aa~a,1.8027762754642147e-05,1.0,0.00013329778725673153,30.003567343882864
56,ah~a,1.8027762754642147e-05,1.0,0.00013329778725673153,30.003567343882864
57,aha~a,1.8027762754642147e-05,1.0,0.00013329778725673153,30.003567343882864
58,x~Gs,0.0005949161709031909,0.2462686567164179,1.0,27.417805510037695
59,g~g,0.003749774652965567,0.23582766439909297,1.0,27.262318664621066
60,u~w,0.006616188930953669,0.20711060948081264,0.9812834224598931,26.169796180169925
61,v~b,0.00670632774472688,0.44711538461538464,0.5904761904761905,25.558301735221693
62,v~B,0.00829277086713539,0.5528846153846154,0.3948497854077253,24.89817271304974
63,r~R,0.011123129619614206,0.136353591160221,0.9951612903225806,24.54999002223895
64,l~L,0.0040382188570398415,0.09435551811288964,0.9955555555555555,22.943687597349793
65,w~gw,5.4083288263926445e-05,0.0967741935483871,1.0,22.905929970864808
66,hu~w,5.4083288263926445e-05,0.75,0.008021390374331552,22.663131971899826
67,w~B,0.0003966107806021273,0.7096774193548387,0.01888412017167382,21.687835523108745
68,n~N,0.0029385253290066704,0.047001153402537486,1.0,21.55696086852646
69,c~C,0.002415720209122048,0.046951646811492644,0.950354609929078,20.536427613382443
70,s~z,0.000847304849468181,0.012076053442959919,1.0,20.40464684576221
71,hi~H,3.6055525509284295e-05,0.6666666666666666,0.018867924528301886,20.379161266841503
72,u~Gu,0.00021633315305570578,0.006772009029345372,1.0,20.213976928533146
73,x~s,0.0013881377321074454,0.5746268656716418,0.015154497146231056,17.611302799679247
74,b~b,0.004651162790697674,0.27417640807651433,0.4095238095238095,16.648326572306505
75,g~x,0.0038218857039841354,0.24036281179138322,0.37924865831842575,14.986951805309218
76,c~s,0.015071209662880836,0.29292221443587946,0.16453454044479432,12.831917725116313
77,y~i,0.0009554714259960339,0.3419354838709677,0.015949443274149863,10.62482695291183
78,hi~i,1.8027762754642147e-05,0.3333333333333333,0.0003009328919650918,10.006920045977035
79,l~#,0.0040382188570398415,0.09435551811288964,0.2309278350515464,7.651133187269609
80,hu~u,1.8027762754642147e-05,0.25,0.0007905138339920949,7.516711664817574
81,u~#,0.0034433026861366506,0.10778781038374718,0.19690721649484536,7.343943775716156
82,x~G,0.00043266630611141156,0.1791044776119403,0.04597701149425287,6.314307873548836
83,r~#,0.0026140255994231117,0.032044198895027624,0.14948453608247422,4.081717968471469
84,w~w,5.4083288263926445e-05,0.0967741935483871,0.008021390374331552,3.06635777835144
85,w~#,5.4083288263926445e-05,0.0967741935483871,0.003092783505154639,2.9677856409679015
86,n~m,0.0016224986479177934,0.025951557093425604,0.05235602094240838,1.9067920640468254
87,t~D,0.001081665765278529,0.021810250817884406,0.03783102143757881,1.4650112415520349
88,h~G,0.00021633315305570578,0.028639618138424822,0.022988505747126436,1.3297753167480586
89,i~H,3.6055525509284295e-05,0.0004910385465259023,0.018867924528301886,0.393892423237279
90,c~G,7.211105101856859e-05,0.001401541695865452,0.007662835249042145,0.19890850840773489
