,GP,WORDS COUNT,WORD FREQ,GP COUNT,GP FREQ,G CONSISTENCY,P CONSISTENCY,SCORE
0,a~a,5354,0.6331598864711447,7184,0.1308751730671136,1.0,0.9558275678552421,71.19984876843806
1,e~e,4432,0.5241248817407758,5606,0.10212781461779494,1.0,0.9591103507271171,65.59193626230142
2,r~r,3435,0.40622043519394513,3765,0.0685892297602565,0.8873438604760783,0.998938710533298,60.95446247863174
3,o~o,4065,0.48072374645222327,4755,0.08662464475697734,1.0,0.8760132645541636,59.94296435234748
4,n~n,2907,0.34377956480605487,3218,0.0586242075347956,0.9268433179723502,0.9975201487910725,57.6760262672936
5,t~t,2503,0.2960028382213813,2689,0.04898710194563871,0.9785298398835517,1.0,55.29001293052545
6,l~l,1873,0.22149952696310313,1935,0.03525103840268163,0.9271681839961667,1.0,51.42748673218197
7,s~s,3371,0.3986518448438978,3851,0.07015594257815347,0.9856667519836192,0.7570277177118144,50.915260376449
8,i~i,2516,0.2975402081362346,2834,0.05162865262697661,0.6995803505307332,0.8500299940011997,49.39449669312948
9,p~p,1418,0.16769157994323558,1463,0.026652335495154122,1.0,1.0,48.65110235211331
10,i~j,1203,0.14226584673604542,1217,0.02217080813233258,0.30041964946926686,0.9991789819376026,47.3021596956297
11,c~k,1790,0.21168401135288553,1882,0.034285506084675364,0.6914033798677444,0.9056785370548605,47.154197110685445
12,m~m,1572,0.1859035004730369,1616,0.02943962690373825,1.0,0.9389889599070308,47.14912968897046
13,d~D,1384,0.16367076631977295,1527,0.02781826131312395,0.6212367778681855,0.9591708542713567,46.82855509997416
14,d~d,910,0.1076158940397351,931,0.016960577133279895,0.37876322213181446,1.0,45.550400473319556
15,u~u,1164,0.13765373699148534,1191,0.021697150768782335,0.6912362159024956,0.93265465935787,44.40584473157689
16,f~f,556,0.06575212866603596,561,0.010220068498141806,1.0,1.0,43.389807118283215
17,g~g,208,0.02459791863765374,208,0.003789258908401953,0.2334455667789001,0.9952153110047847,41.07640096115809
18,u~w,364,0.04304635761589404,364,0.006631203089703418,0.21125943122460825,0.9706666666666667,41.0452965783584
19,n~N,164,0.019394512771996216,164,0.0029876849085476937,0.04723502304147465,1.0,40.99960248768529
